INSTID,UKPRN,Region of HE provider,HE provider,Full-time postgraduate - UK domicile - Higher degree (research),Full-time postgraduate - UK domicile - Higher degree (taught),Full-time postgraduate - UK domicile - Other postgraduate,Full-time postgraduate - UK domicile - Total UK domicile,Full-time postgraduate - Other EU domicile - Higher degree (research),Full-time postgraduate - Other EU domicile - Higher degree (taught),Full-time postgraduate - Other EU domicile - Other postgraduate,Full-time postgraduate - Other EU domicile - Total other EU domicile,Full-time postgraduate - Non-EU domicile - Higher degree (research),Full-time postgraduate - Non-EU domicile - Higher degree (taught),Full-time postgraduate - Non-EU domicile - Other postgraduate,Full-time postgraduate - Non-EU domicile - Total non-EU domicile,Full-time postgraduate - Not known domicile - Higher degree (research),Full-time postgraduate - Not known domicile - Higher degree (taught),Full-time postgraduate - Not known domicile - Other postgraduate,Full-time postgraduate - Not known domicile - Total non-EU domicile,Full-time postgraduate - All domiciles - Higher degree (research),Full-time postgraduate - All domiciles - Higher degree (taught),Full-time postgraduate - All domiciles - Other postgraduate,Full-time postgraduate - All domiciles - Total full-time postgraduate,Part-time postgraduate - UK domicile - Higher degree (research),Part-time postgraduate - UK domicile - Higher degree (taught),Part-time postgraduate - UK domicile - Other postgraduate,Part-time postgraduate - UK domicile - Total UK domicile,Part-time postgraduate - Other EU domicile - Higher degree (research),Part-time postgraduate - Other EU domicile - Higher degree (taught),Part-time postgraduate - Other EU domicile - Other postgraduate,Part-time postgraduate - Other EU domicile - Total other EU domicile,Part-time postgraduate - Non-EU domicile - Higher degree (research),Part-time postgraduate - Non-EU domicile - Higher degree (taught),Part-time postgraduate - Non-EU domicile - Other postgraduate,Part-time postgraduate - Non-EU domicile - Total non-EU domicile,Part-time postgraduate - Not known domicile - Higher degree (research),Part-time postgraduate - Not known domicile - Higher degree (taught),Part-time postgraduate - Not known domicile - Other postgraduate,Part-time postgraduate - Not known domicile - Total non-EU domicile,Part-time postgraduate - All domiciles - Higher degree (research),Part-time postgraduate - All domiciles - Higher degree (taught),Part-time postgraduate - All domiciles - Other postgraduate,Part-time postgraduate - All domiciles - Total Part-time postgraduate,Full-time undergraduate - UK domicile - First degree,Full-time undergraduate - UK domicile - Other undergraduate,Full-time undergraduate - UK domicile - Total UK domicile,Full-time undergraduate - Other EU domicile - First degree,Full-time undergraduate - Other EU domicile - Other undergraduate,Full-time undergraduate - Other EU domicile - Total other EU domicile,Full-time undergraduate - Non-EU domicile - First degree,Full-time undergraduate - Non-EU domicile - Other undergraduate,Full-time undergraduate - Non-EU domicile - Total non-EU domicile,Full-time undergraduate - Not known domicile - First degree,Full-time undergraduate - Not known domicile - Other undergraduate,Full-time undergraduate - Not known domicile - Total non-EU domicile,Full-time undergraduate - All domiciles - First degree,Full-time undergraduate - All domiciles - Other undergraduate,Full-time undergraduate - All domiciles - Total full-time undergraduate,Part-time undergraduate - UK domicile - First degree,Part-time undergraduate - UK domicile - Other undergraduate,Part-time undergraduate - UK domicile - Total UK domicile,Part-time undergraduate - Other EU domicile - First degree,Part-time undergraduate - Other EU domicile - Other undergraduate,Part-time undergraduate - Other EU domicile - Total other EU domicile,Part-time undergraduate - Non-EU domicile - First degree,Part-time undergraduate - Non-EU domicile - Other undergraduate,Part-time undergraduate - Non-EU domicile - Total non-EU domicile,Part-time undergraduate - Not known domicile - First degree,Part-time undergraduate - Not known domicile - Other undergraduate,Part-time undergraduate - Not known domicile - Total non-EU domicile,Part-time undergraduate - All domiciles - First degree,Part-time undergraduate - All domiciles - Other undergraduate,Part-time undergraduate - All domiciles - Total Part-time undergraduate,Female,Male,Other,20 and under,21-24,25-29,30 and over,Age unknown,Known to have a disability,No known disability,White,Black,Asian,Other ethnicity (including mixed),Ethnicity not known,Total UK domiciled students,Total students
0175,10005700,SCOT,SRUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,655,635,1290,30,20,45,5,5,10,0,0,0,690,660,1350,25,140,165,0,5,5,0,5,5,0,0,0,25,150,175,795,785,0,850,280,155,290,0,260,1320,1465,5,10,15,15,1510,1580
0174,10007804,SCOT,The University of Stirling,185,525,0,710,45,160,0,205,110,920,5,1040,0,5,0,5,340,1605,10,1955,175,805,240,1220,15,15,5,30,25,25,0,50,0,0,0,0,210,840,245,1295,6820,260,7075,605,80,685,140,115,255,0,0,0,7565,455,8020,190,360,550,0,5,5,10,0,10,0,0,0,200,365,565,7435,4405,0,4615,3360,1315,2550,0,1675,10165,8910,145,175,275,55,9555,11840
0169,10007805,SCOT,The University of Strathclyde,825,525,975,2320,220,210,55,480,360,800,95,1255,0,0,0,0,1400,1530,1125,4060,150,850,1030,2035,25,80,20,125,25,200,60,285,0,0,0,0,200,1135,1110,2445,11080,0,11080,1025,0,1030,730,25,750,0,0,0,12835,25,12860,380,1685,2070,5,0,5,25,5,30,0,0,0,415,1690,2105,10910,10510,50,8680,5545,2395,4845,0,1415,20050,15510,165,905,285,640,17505,21470
0196,10007114,SCOT,University of the Highlands and Islands,30,25,0,55,5,10,0,15,5,20,0,25,0,0,0,0,40,55,0,95,20,280,70,370,0,5,0,5,5,10,0,15,0,0,0,0,25,295,70,390,2435,2620,5060,100,45,145,25,10,40,0,0,0,2560,2680,5240,770,1890,2655,5,15,20,5,10,15,0,0,0,780,1910,2690,4790,3625,0,3020,1470,920,3005,0,1350,7070,7850,45,95,85,65,8140,8415
0105,10007800,SCOT,The University of the West of Scotland,130,335,305,770,15,25,5,45,115,245,5,365,0,0,0,0,260,605,310,1180,145,435,355,935,10,5,0,10,5,5,5,20,0,0,0,0,160,445,360,965,9830,120,9950,495,0,495,115,230,340,0,0,0,10435,350,10785,1630,915,2545,35,0,35,10,35,45,0,0,0,1680,950,2630,9805,5735,10,5065,3945,2170,4375,0,1460,14095,12855,350,730,195,65,14195,15555
0184,10005343,NIRE,The Queen's University of Belfast,835,695,450,1980,160,115,15,285,335,295,10,640,0,0,0,0,1330,1100,475,2905,265,610,805,1675,115,70,85,270,30,15,10,55,0,0,0,0,410,695,895,2005,13520,110,13630,310,5,315,900,215,1115,0,0,0,14730,325,15055,430,3350,3780,5,55,65,25,40,60,0,0,0,460,3445,3905,13405,10465,0,9285,6615,2475,5495,0,1960,21910,20160,85,375,215,230,21065,23870
0001,10007773,NIRE,The Open University in Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,35,150,0,0,0,0,0,0,0,0,0,0,0,0,0,115,35,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,590,3590,0,0,0,0,0,0,0,0,0,3000,590,3590,2030,1705,0,120,460,765,2390,0,695,3040,3555,35,30,45,75,3735,3735
0194,10008026,NIRE,St Mary's University College,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,135,0,135,0,10,0,10,0,0,0,0,0,0,0,0,0,145,0,145,850,0,850,10,0,10,0,0,0,0,0,0,860,0,860,15,0,15,0,0,0,0,0,0,0,0,0,15,0,15,730,310,0,580,295,75,90,0,70,970,1015,0,5,5,0,1020,1040
0193,10008010,NIRE,Stranmillis University College,0,10,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,0,125,0,125,0,10,0,10,0,0,0,0,0,0,0,0,0,130,5,135,845,120,965,5,0,5,0,0,0,0,0,0,850,120,970,200,100,300,5,0,5,0,0,0,0,0,0,205,100,305,1150,290,0,665,460,125,190,0,100,1340,1405,0,0,5,0,1415,1440
0185,10007807,NIRE,University of Ulster,275,680,225,1180,45,180,10,235,65,320,0,385,0,0,0,0,380,1180,240,1800,120,955,1940,3015,40,245,165,450,10,10,5,25,0,0,0,0,170,1210,2115,3490,14930,55,14990,655,0,655,215,45,260,0,0,0,15800,105,15905,2060,1605,3665,115,140,255,0,40,40,0,0,0,2175,1790,3965,14060,11095,0,9155,7355,2705,5940,0,2320,22835,21795,175,420,190,270,22845,25155
,,,Total England,32655,45375,30065,108090,9705,17055,1415,28175,24740,88375,2720,115835,0,0,0,5,67100,150805,34205,252110,19155,82790,65165,167110,2110,4050,1755,7910,2230,7935,2615,12780,5,325,145,475,23500,95095,69680,188275,964840,30730,995575,58195,915,59110,120340,4600,124940,5,0,5,1143385,36245,1179630,138845,91500,230345,1545,1685,3260,2835,4885,7720,5,0,5,143255,98075,241330,1050815,810210,320,769730,500930,208700,381810,175,211255,1650090,1109855,116740,170905,82295,21325,1501120,1861345
,,,Total Wales,1715,2405,1535,5655,330,670,65,1065,1060,5640,130,6830,0,0,0,0,3105,8715,1730,13550,870,6305,2945,10125,80,265,75,420,140,630,340,1110,0,0,0,0,1090,7200,3360,11655,62990,4080,67070,3365,145,3510,7260,415,7675,0,0,0,73610,4640,78255,7995,15640,23635,35,435,465,85,1030,1115,0,0,0,8115,17105,25220,69935,58690,50,51170,32665,14660,30160,25,15445,113230,94150,2260,4410,3035,2625,106480,128675
,,,Total Scotland,4795,5835,3370,14000,1770,3365,320,5450,3620,11340,305,15265,0,5,0,5,10185,20545,3990,34715,1960,8960,8560,19480,245,510,295,1050,300,780,385,1465,0,5,0,5,2500,10255,9240,21995,114875,4100,118975,13345,245,13590,11395,780,12175,0,0,0,139615,5130,144745,17375,14800,32175,210,645,855,240,835,1075,0,0,0,17825,16285,34105,136550,98905,110,87905,67050,28855,51725,25,25150,210415,165365,2860,7365,4240,4795,184630,235565
,,,Total Northern Ireland,1110,1380,710,3200,205,295,25,525,400,615,10,1025,0,0,0,0,1710,2290,750,4750,385,1935,2780,5100,155,335,250,740,40,30,15,80,0,0,0,0,580,2300,3045,5925,30150,285,30435,975,5,985,1115,260,1375,0,0,0,32245,550,32795,5700,5650,11350,125,195,325,25,80,105,0,0,0,5850,5925,11775,31380,23865,0,19810,15185,6145,14105,0,5140,50100,47930,295,825,460,575,50085,55245
,,,Total UK,40270,54995,35680,130945,12005,21385,1825,35215,29820,105970,3165,138955,0,5,0,5,82100,182355,40670,305120,22365,99990,79450,201810,2590,5155,2375,10125,2710,9375,3350,15435,5,330,145,485,27675,114850,85325,227850,1172855,39200,1212055,75880,1315,77195,140115,6050,146165,5,0,5,1388855,46565,1435420,169915,127595,297505,1945,2960,4905,3185,6830,10015,5,5,10,175045,137390,312435,1288680,991670,480,928610,615830,258360,477805,225,256995,2023835,1417300,122150,183510,90030,29320,1842315,2280830
